n,c,n,n,c,c,b,b,n,b
9,4,-15,-32,4,2,0,0,35,0
-49,2,-7,27,3,2,0,0,-50,1
-46,4,21,43,3,3,1,0,31,1
-22,1,43,32,5,1,0,0,10,1
-42,4,-16,-50,2,4,0,0,34,0
25,2,20,-42,3,3,0,0,-18,0
35,5,21,-39,4,5,0,0,-8,0
49,1,-35,46,4,3,1,1,-13,1
-24,5,17,-20,5,2,1,0,11,0
41,3,-14,-35,4,4,1,0,21,0
-16,5,-33,48,5,2,1,1,-10,1
-23,3,-36,-13,5,1,1,1,10,1
16,1,-31,-21,1,3,0,0,7,1
-5,1,4,1,3,5,0,1,34,1
-38,4,12,-25,3,2,1,1,-14,1
12,2,-35,-35,5,4,0,0,-26,0
-47,3,-23,-9,1,3,1,0,44,1
-45,5,-22,46,2,2,0,0,17,1
-32,3,-46,-31,1,2,1,1,-48,0
-25,4,43,-14,2,4,0,0,-41,0
12,4,32,14,3,2,0,1,-6,1
11,2,-45,44,4,5,0,1,-7,1
-14,4,-31,-15,4,2,1,1,50,1
29,1,-12,35,2,3,0,1,41,1
-5,4,30,-38,4,2,1,1,32,1
-15,3,-7,-50,5,5,1,1,-23,1
48,3,-22,-25,1,2,0,1,-24,1
-50,3,-48,-43,1,3,0,1,-38,0
-49,5,-44,27,4,1,1,1,-48,0
29,3,-37,38,3,5,1,0,-12,1
22,4,-41,-39,5,3,1,0,23,0
-48,1,-40,6,4,3,1,1,16,1
-7,1,-20,39,1,4,0,1,-40,1
41,4,-38,31,3,4,1,1,-26,1
-2,2,-24,35,5,1,0,1,-8,1
13,4,9,-21,4,4,1,0,-28,0
49,3,-21,-9,4,3,0,1,-17,1
37,5,-25,-26,5,2,0,1,47,1
37,2,25,8,5,1,1,1,-42,1
33,4,12,9,3,2,1,0,-18,0
-42,4,-41,47,3,5,1,1,33,1
24,1,-11,33,2,3,0,0,19,1
-41,1,-25,-29,2,2,0,0,-38,1
36,5,10,-24,4,1,1,1,27,1
44,3,-13,-33,2,3,0,0,-33,0
41,4,-37,22,5,1,0,1,-8,1
-26,2,-9,-43,1,5,1,1,15,1
43,2,-8,-33,5,3,1,0,30,0
21,3,27,15,4,5,1,0,-9,1
15,1,3,49,4,5,1,0,-44,1
-37,4,-17,-50,2,2,0,0,-21,0
50,3,39,27,4,5,0,1,12,0
-35,3,-45,-29,5,2,1,1,31,1
-9,1,-5,38,3,1,0,0,44,0
-47,2,1,-15,5,3,0,1,35,1
12,2,26,10,5,2,1,1,13,1
-26,2,15,28,1,2,0,0,-26,0
-43,3,49,49,2,5,0,0,-50,0
1,2,4,-44,2,3,1,1,-6,0
-10,3,10,-1,1,5,0,0,-18,1
-40,2,-40,-28,1,2,0,0,32,1
-37,3,18,6,3,4,1,1,30,0
-28,3,14,-4,1,3,0,0,-30,1
-15,3,-25,16,4,1,0,0,-7,0
35,1,47,-11,2,1,0,1,-16,0
-14,3,31,16,4,1,0,1,-18,0
29,1,-29,11,5,1,1,0,42,1
-33,1,20,-9,3,4,0,0,-27,1
-21,5,-29,33,1,1,1,1,-24,0
44,2,-2,19,2,4,0,0,40,1
-13,3,-22,37,1,2,1,0,49,1
46,5,0,-42,3,1,0,1,38,0
-36,4,-6,-29,5,1,0,1,34,0
18,2,-2,3,5,4,1,0,38,1
8,4,28,21,5,3,1,1,-28,0
36,1,-36,-2,4,4,0,1,17,0
19,4,-9,49,2,4,0,0,-22,1
-21,2,-4,9,4,5,0,1,-43,0
23,5,30,-40,5,1,1,1,-39,1
20,4,1,27,3,5,1,0,-46,0
45,2,10,-31,1,2,0,1,-11,1
-50,4,37,-23,4,1,0,0,47,1
-35,5,26,9,4,1,0,0,-2,0
1,1,-5,-12,2,2,0,1,-18,0
-7,1,-14,34,4,1,1,0,-9,1
-26,1,11,21,3,5,1,1,20,1
42,3,-37,-18,2,2,0,0,-7,1
-19,3,-32,-34,5,3,0,1,-47,1
11,1,-10,-24,2,4,1,1,-17,1
47,4,24,-30,4,3,1,0,15,0
-4,5,48,26,3,1,1,0,-22,1
-31,2,-26,11,5,2,1,0,-26,1
16,1,-46,33,3,2,0,0,-50,1
-44,2,11,20,3,1,1,1,-48,0
1,3,22,29,5,2,0,0,37,0
-39,1,8,-34,2,4,1,1,9,1
5,4,-26,0,5,1,1,1,16,0
-45,5,44,14,3,2,0,1,-36,0
47,5,9,10,1,3,0,1,50,0
5,2,39,40,1,4,1,0,-10,1
